"Country_Name","Region","Maternal_Death_Rate","Infant_Mortality_Rate","Life_Expectancy"
"Afghanistan","South Asia",521,101.3,54.4
"Albania","Europe",7,10.3,79.9
"Algeria","Africa",62,18.7,77.9
"Andorra","Europe",11,3.3,83.8
"Angola","Africa",183,55.6,62.9
"Antigua and Barbuda","Central America and the Caribbean",35,13.6,78.3
"Argentina","South America",33,9,78.8
"Armenia","Central Asia",19,11.6,76.7
"Australia","Australia and Oceania",2,2.9,83.5
"Austria","Europe",6,3.2,82.7
"Azerbaijan","Central Asia",18,10.9,75.9
"Bahamas, The","Central America and the Caribbean",76,9.4,76.7
"Bahrain","Middle East",17,9.7,80.4
"Bangladesh","South Asia",115,28.8,75.2
"Barbados","Central America and the Caribbean",35,9.6,79
"Belarus","Europe",1,2.1,74.7
"Belgium","Europe",4,3.1,82.3
"Belize","Central America and the Caribbean",67,11.3,74.3
"Benin","Africa",518,52.9,63
"Bhutan","South Asia",47,24.3,73.7
"Bolivia","South America",146,22.3,72.5
"Bosnia and Herzegovina","Europe",6,5,78.5
"Botswana","Africa",155,23.7,66.4
"Brazil","South America",67,12.9,76.3
"Brunei","East and Southeast Asia",36,10,78.9
"Bulgaria","Europe",6,7.7,76.1
"Burkina Faso","Africa",242,47,64.2
"Burma","East and Southeast Asia",185,32.1,70.3
"Burundi","Africa",392,35.7,68.1
"Cabo Verde","Africa",40,22.4,74.3
"Cambodia","East and Southeast Asia",137,27.9,71.4
"Cameroon","Africa",258,46.1,64.2
"Canada","North America",12,4.3,84.2
"Central African Republic","Africa",692,80.5,56.4
"Chad","Africa",748,62.5,60
"Chile","South America",10,6.3,80.3
"China","East and Southeast Asia",16,6.2,78.7
"Colombia","South America",59,11.7,74.9
"Comoros","Africa",179,54.9,67.8
"Congo, Democratic Republic of the","Africa",427,57.4,62.6
"Congo, Republic of the","Africa",241,30.6,72.9
"Cook Islands","Australia and Oceania",0,15.1,77.6
"Costa Rica","Central America and the Caribbean",24,6.7,80.3
"Cote d'Ivoire","Africa",359,52.5,63.2
"Croatia","Europe",3,8.4,77.7
"Cuba","Central America and the Caribbean",35,4,80.1
"Cyprus","Europe",14,8.1,80.2
"Czechia","Europe",3,2.6,78.6
"Denmark","Europe",4,3,82.1
"Djibouti","Africa",162,45.2,65.9
"Dominica","Central America and the Caribbean",36,10.7,78.7
"Dominican Republic","Central America and the Caribbean",124,21.7,72.6
"Ecuador","South America",55,11.2,74.9
"Egypt","Africa",17,16.8,75
"El Salvador","Central America and the Caribbean",39,11.7,75.9
"Equatorial Guinea","Africa",174,77.4,63.9
"Eritrea","Africa",291,39.8,67.5
"Estonia","Europe",5,3.3,78.4
"Eswatini","Africa",118,36.7,60.7
"Ethiopia","Africa",195,32.6,67.7
"Fiji","Australia and Oceania",30,9.7,74.8
"Finland","Europe",8,2.1,82.2
"France","Europe",7,3.1,82.6
"Gabon","Africa",233,26.9,70.4
"Gambia, The","Africa",354,35.7,68.4
"Gaza Strip","Middle East",16,15.1,75.5
"Georgia","Central Asia",20,21.7,72.8
"Germany","Europe",4,3.1,81.9
"Ghana","Africa",234,31.2,70.1
"Greece","Europe",5,3.4,81.9
"Grenada","Central America and the Caribbean",48,9,76.3
"Guatemala","Central America and the Caribbean",94,25,73.5
"Guinea","Africa",494,47,64.6
"Guinea-Bissau","Africa",505,46.4,64.5
"Guyana","South America",75,21.1,72.4
"Haiti","Central America and the Caribbean",328,36.8,65.6
"Honduras","Central America and the Caribbean",47,15.4,73.1
"Hungary","Europe",12,4.7,76
"Iceland","Europe",3,1.6,84
"India","South Asia",80,30.4,68.2
"Indonesia","East and Southeast Asia",140,18.9,73.6
"Iran","Middle East",16,14.3,75.6
"Iraq","Middle East",66,18.7,73.7
"Ireland","Europe",4,3.3,82
"Israel","Middle East",2,2.8,83.1
"Italy","Europe",6,3.1,83
"Jamaica","Central America and the Caribbean",130,10.7,76.3
"Japan","East and Southeast Asia",3,1.9,85.2
"Jordan","Middle East",31,13.2,76.5
"Kazakhstan","Central Asia",10,8,73.3
"Kenya","Africa",379,26.1,70.4
"Kiribati","Australia and Oceania",80,31.5,68.5
"Korea, North","East and Southeast Asia",67,15.4,73.5
"Korea, South","East and Southeast Asia",4,2.8,83.4
"Kuwait","Middle East",8,7.2,79.6
"Kyrgyzstan","Central Asia",42,24.5,72.9
"Laos","East and Southeast Asia",112,35.4,69
"Latvia","Europe",19,4.7,76.4
"Lebanon","Middle East",15,6.7,79.2
"Lesotho","Africa",478,45.7,60.2
"Liberia","Africa",628,55.7,61.6
"Libya","Africa",59,10.7,77.7
"Lithuania","Europe",8,3.6,76.1
"Luxembourg","Europe",12,3.2,83.4
"Madagascar","Africa",445,37.5,68.8
"Malawi","Africa",225,31.9,73
"Malaysia","East and Southeast Asia",26,6.4,76.6
"Maldives","South Asia",32,24.4,77.4
"Mali","Africa",367,57.4,63.2
"Malta","Europe",8,4.4,83.6
"Marshall Islands","Australia and Oceania",155,20.6,75.2
"Mauritania","Africa",381,48.9,65.9
"Mauritius","Africa",66,11.6,75.4
"Mexico","North America",42,12.1,74.6
"Micronesia, Federated States of","Australia and Oceania",129,20.9,75
"Moldova","Europe",19,13.8,70.1
"Monaco","Europe",5,1.7,89.8
"Mongolia","East and Southeast Asia",41,19.4,71.9
"Montenegro","Europe",6,3.2,78.2
"Morocco","Africa",70,18.3,74.2
"Mozambique","Africa",82,58.2,58.3
"Namibia","Africa",139,27.9,65.9
"Nauru","Australia and Oceania",273,7.6,68.6
"Nepal","South Asia",142,24,73
"Netherlands","Europe",4,3.6,81.9
"New Zealand","Australia and Oceania",7,3.3,82.9
"Nicaragua","Central America and the Caribbean",60,14.4,74.7
"Niger","Africa",350,64.3,60.9
"Nigeria","Africa",993,53.7,62.2
"North Macedonia","Europe",3,7,77.3
"Norway","Europe",1,1.8,82.9
"Oman","Middle East",13,13.9,77.4
"Pakistan","South Asia",155,51.5,70.3
"Palau","Australia and Oceania",89,10.8,75.2
"Panama","Central America and the Caribbean",37,14.2,79.2
"Papua New Guinea","East and Southeast Asia",189,32,70.1
"Paraguay","South America",58,22,78.8
"Peru","South America",51,10.8,68.9
"Philippines","East and Southeast Asia",84,22,70.8
"Poland","Europe",2,4.9,76.7
"Portugal","Europe",15,2.4,81.9
"Puerto Rico","Central America and the Caribbean",11,5.8,82.1
"Qatar","Middle East",4,6.4,80.3
"Romania","Europe",12,5.5,76.9
"Russia","Central Asia",9,6.5,72.3
"Rwanda","Africa",229,24.9,66.6
"Saint Kitts and Nevis","Central America and the Caribbean",74,8,77.6
"Saint Lucia","Central America and the Caribbean",44,11.5,79.4
"Saint Vincent and the Grenadines","Central America and the Caribbean",56,12.3,77.2
"Samoa","Australia and Oceania",101,17.3,75.7
"San Marino","Europe",8,6.2,84.2
"Sao Tome and Principe","Africa",75,42.6,67.7
"Saudi Arabia","Middle East",7,11.7,77.2
"Senegal","Africa",237,31.1,70.6
"Serbia","Europe",11,4.5,75.3
"Seychelles","Africa",42,10.2,76.6
"Sierra Leone","Africa",354,71.2,59.4
"Singapore","East and Southeast Asia",6,1.5,86.7
"Slovakia","Europe",4,5.1,77.2
"Slovenia","Europe",3,1.5,82.2
"Solomon Islands","Australia and Oceania",123,19.1,77.2
"Somalia","Africa",563,83.6,56.5
"South Africa","Africa",118,21.9,71.9
"South Sudan","Africa",692,60.1,60.3
"Spain","Europe",3,2.4,83
"Sri Lanka","South Asia",18,6.8,76.8
"Sudan","Africa",256,40.6,67.8
"Suriname","South America",84,29.6,72.7
"Sweden","Europe",4,2.3,82.9
"Switzerland","Europe",5,3,83.9
"Syria","Middle East",20,15.1,74.8
"Tajikistan","Central Asia",14,21.7,71.9
"Tanzania","Africa",276,29.6,70.8
"Thailand","East and Southeast Asia",34,6.3,78.2
"Timor-Leste","East and Southeast Asia",192,32.2,70.5
"Togo","Africa",349,38.4,72.1
"Tonga","Australia and Oceania",67,11.8,78
"Trinidad and Tobago","Central America and the Caribbean",54,15.1,76.5
"Tunisia","Africa",36,11.3,77.3
"Turkey","Middle East",15,18.4,76.7
"Turkmenistan","Central Asia",5,35.9,72.4
"Tuvalu","Australia and Oceania",170,27.8,69
"Uganda","Africa",170,28.5,69.7
"Ukraine","Europe",15,8.7,70.5
"United Arab Emirates","Middle East",3,5,79.9
"United Kingdom","Europe",8,3.8,82.2
"United States","North America",17,5.1,80.9
"Uruguay","South America",15,8,78.9
"Uzbekistan","Central Asia",26,18.2,76.2
"Vanuatu","Australia and Oceania",100,13.7,75.7
"Venezuela","South America",227,13.9,74.5
"Vietnam","East and Southeast Asia",48,14.1,76.1
"West Bank","Middle East",16,15.1,76.5
"Yemen","Middle East",118,44.6,68.2
"Zambia","Africa",85,35.6,66.9
"Zimbabwe","Africa",358,33.4,67.2
